"Polyglot","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_HIGHSCORES_TODAY","","Today","Aujourd'hui","Hoy","Heute","Oggi","Hoje","","Сегодня","","","","","Idag","Vandaag","","","今日","今日","今天","오늘","","Ma","","","","היום","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_HIGHSCORES_CLEAR_ALL","","Clear All","Tout effacer","Eliminar Todo","Alle löschen","Cancella Tutto","Limpar Tudo","","Очистить всё","","","","","Ta bort alla","Alles wissen","","","すべて削除","清除","清除全部","모두 지우기","","Összes törlése","","","","נקה הכל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_HIGHSCORES_GLOBAL","","Global","Mondial","Global","Global","Globale","Global","","Весь мир","","","","","Global","Wereldwijd","","","グローバル","全球","全球","글로벌","","Világ","","","","עולמי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_HIGHSCORES_AROUND_YOU","","Around You","À proximité","A tu Alrededor","In deiner Nähe","Intorno a te","Perto de Você","","Поблизости","","","","","Omkring dig","Rondom jou","","","ローカル","相近的玩家","附近的玩家","근처","","Közelben","","","","ברמתכם","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_HIGHSCORES_FRIENDS","","Friends","Amis","Amigos","Freunde","Amici","Amigos","","Друзья","","","","","Vänner","Vrienden","","","友だち","好友","好友","친구","","Barátok","","","","חברים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_MODIFIERS","","Modifiers","Modificateurs","Modificadores","Modifikatoren","Modificatori","Modificadores","","Модификаторы","","","","","Modifierare","Modifiers","","","ルール変更","修改项","遊戲修改器","모디파이어","","Módosítók","","","","שינויים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_BUY_LEVEL","","Buy Level","Acheter le niveau","Comprar Nivel","Level kaufen","Acquista Livello","Comprar Nível","","Купить уровень","","","","","Köpa Nivå","Koop level","","","ステージを購入","购买歌曲","購買歌曲","레벨 구매","","Pálya megvásárlása","","","","קנה שלב זה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_BUY_MUSIC_PACK","","Buy Music Pack","Acheter le pack","Comprar Paquete Musical","Musikpaket kaufen","Acquista Music Pack","Comprar Pacote de Música","","Купить набор музыки","","","","","Köpa Musikpack","Koop muziekpak","","","音楽パックを購入","购买歌曲包","購買歌曲包","뮤직 팩 구매","","Zenecsomag megvásárlása","","","","קנה חבילת שלבים זו","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_RESET_ROOM","","Reset Room","Réinitialiser l'espace","Reiniciar","Raum zurücksetzen","Reimposta Stanza","Redefinir Sala","","Сброс","","","","","Återställa Rummet","Reset ruimte","","","ルームをリセット","重置房间","重置房間","공간 초기화","","Szoba visszaállítása","","","","איפוס חדר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_MENU","","Menu","Menu","Menú","Menü","Menù","Menu","","Меню","","","","","Meny","Menu","","","メニュー","菜单","選單","메뉴","","Menü","","","","תפריט","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_RESTART","","Restart","Recommencer","Reiniciar","Neu starten","Riavvia","Reiniciar","","Повтор","","","","","Starta om","Herstart","","","再スタート","重新开始","重新開始","재시작","","Újraindít","","","","התחל מחדש","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_ALL","","All","Toutes","Todo","Alle","Tutto","Tudo","","Все","","","","","Alla","Gecombineerd","","","すべて","全部","所有","전체","","Összes","","","","הכל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_LEVELS_PLAYED","","Levels Played","Niveaux tentés","Niveles Jugados","Gespielte Level","Livelli Giocati","Níveis Jogados","","Уровней сыграно","","","","","Antal nivåer spelad","Levels gespeeld","","","プレイしたステージ","游玩关卡数","遊玩關卡數","플레이한 레벨","","Lejátszott pálya","","","","השלבים ששיחקתם","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_LEVELS_CLEARED","","Levels Cleared","Niveaux terminés","Niveles Terminados","Abgeschlossene Level","Livelli Completati","Níveis Concluídos","","Уровней пройдено","","","","","Antal nivåer klarad","Levels gecleared","","","クリアしたステージ","通过关卡数","通過關卡數","완료한 레벨","","Befejezett pálya","","","","השלבים שעברתם","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_LEVELS_FAILED","","Levels Failed","Niveaux échoués","Niveles Fallidos","Fehlgeschlagene Level","Livelli Falliti","Níveis Falhados","","Неудачных уровней","","","","","Antal nivåer misslyckat","Levels gefaald","","","失敗したステージ","失败关卡数","失敗關卡數","실패한 레벨","","Sikertelen pálya","","","","שלבים שנכשלתם","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_TOTAL_PLAYED_TIME","","Total Played Time","Temps de jeu total","Total de Tiempo Jugado","Spielzeit insgesamt","Tempo Giocato","Tempo Total Jogado","","Времени в игре","","","","","Total spelad tid","Totale speeltijd","","","全プレイ時間","总游戏时长","總遊玩時長","총 플레이 시간","","Teljes játékidő","","","","סך כל הזמן ששיחקתי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_TOTAL_SCORE","","Total Score","Score total","Puntuación Total","Punkte insgesamt","Punteggio Totale","Pontuação Total","","Общий счет","","","","","Total antal pöang","Totale score","","","トータルスコア","总游戏分数","總遊戲分數","총 점수","","Összpontszám","","","","התוצאה הסופית","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_HAND_DISTANCE_TRAVELLED","","Hand Distance Travelled","Distance parcourue (mains)","Distancia de Mano Recorrida","Mit der Hand zurückgelegte Distanz","Distanza Mano Percorsa","Distância da Mão Percorrida","","Пройденное руками расстояние","","","","","Total handdistans","Afstand Afgelegd Met Handen","","","手の移動距離","手部移动距离","手部移動距離","손 이동거리","","Kezeid által megtett távolság","","","","מרחק שעברתי עם היד","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_GOOD_CUTS","","Good Cuts","Coups réussis","Buenos Cortes","Gute Schläge","Tagli Buoni","Bons Cortes","","Разрезано","","","","","Bra skärningar","Goede Cuts","","","良いカット","正确挥砍","良好揮砍","굿 컷","","Helyes vágások","","","","חיתוכים טובים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_BAD_CUTS","","Bad Cuts","Mauvais coups","Malos Cortes","Schlechte Schläge","Tagli Errati","Cortes Ruins","","Плохие разрезы","","","","","Dåliga skärningar","Slechte Cuts","","","悪いカット","错误挥砍","不良揮砍","잘못 자른 횟수","","Helytelen vágások","","","","חיתוכים מעפנים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_MISSED_NOTES","","Missed Notes","Notes manquées","Notas Perdidas","Verpasste Noten","Note Mancate","Notas Perdidas","","Пропущено нот","","","","","Missade notes","Gemiste Noten","","","ミスした音符","遗漏音符","Miss 數量","놓친 음표","","Kihagyott hangjegyek","","","","קוביות שפיספסתי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_FULL_COMBO","","Full Combo","Combo total","Combo completo","Volle Combo","Full Combo","Combo Completo","","Полное комбо","","","","","Full combo","Volledige Combo","","","フルCombo","全连","全接","풀 Combo","","Teljes kombó","","","","ללא פספוסים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_AVERAGE_CUT_SCORE","","Average Cut Score","Score moyen (coups)","Puntuación de Cortes Promedio","Durchschnittliche Schlagpunkte","Punteggio Medio Dei Tagli","Pontuação Média dos Cortes","","Средний счет разреза","","","","","Genomsnitlig cut","Gemiddelde Cut Score","","","平均カットスコア","平均挥砍分数","平均揮砍分數","평균 컷 스코어","","Átlagos vágási pontszám","","","","ממוצע הניקוד","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STATS_MAX_COMBO","","Max Combo","Combo max.","Combo máximo","Max. Combo","Combo Massima","Combo Máximo","","Макс комбо","","","","","Max combo","Max. Combo","","","最大Combo","最大连击","最大連擊","최대 Combo","","Legnagyobb kombó","","","","הכי הרבה ללא פספוס","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
